"Time","machine69","machine70","Total","machine77"
2024-04-19 19:00:15,73.9,82.0,203,48.2
2024-04-19 19:00:30,74.0,82.0,206,49.8
2024-04-19 19:00:45,75.5,82.6,209,50.8
2024-04-19 19:01:00,77.0,86.7,214,50.5
2024-04-19 19:01:15,81.2,83.6,215,51.3
2024-04-19 19:01:30,84.5,80.7,216,50.5
2024-04-19 19:01:45,89.0,76.1,213,48.3
2024-04-19 19:02:00,89.4,68.3,207,46.7
2024-04-19 19:02:15,92.6,69.5,207,46.6
2024-04-19 19:02:30,90.5,69.7,206,47.8
2024-04-19 19:02:45,89.5,70.6,211,50.9
2024-04-19 19:03:00,89.9,73.2,218,51.3
