"Time","Total","Peers","Orderers","Ledgers"
2024-06-23 22:58:15,81,0,0,0
2024-06-23 22:58:30,84,0,0,0
2024-06-23 22:58:45,23,0,0,0
2024-06-23 22:59:00,0,0,0,0
2024-06-23 22:59:15,0,0,0,0
2024-06-23 22:59:30,0,0,0,0
2024-06-23 22:59:45,3,0,0,0
2024-06-23 23:00:00,0,0,0,0
2024-06-23 23:00:15,0,0,0,0
2024-06-23 23:00:30,5,0,0,0
2024-06-23 23:00:45,5,0,0,0
2024-06-23 23:01:00,1,0,0,0
2024-06-23 23:01:15,0,0,0,0
2024-06-23 23:01:30,2,0,0,0
2024-06-23 23:01:45,0,0,0,0
2024-06-23 23:02:00,23,0,1,0
2024-06-23 23:02:15,12,0,3,0
2024-06-23 23:02:30,4,0,0,0
2024-06-23 23:02:45,0,0,0,0
2024-06-23 23:03:00,0,0,0,0
2024-06-23 23:03:15,10,0,9,0
2024-06-23 23:03:30,1,0,0,0
2024-06-23 23:03:45,0,0,0,0
2024-06-23 23:04:00,1,0,0,0
2024-06-23 23:04:15,0,0,0,0
