"Time","orderers","peers","Total"
2024-06-23 22:58:15,0.380,338,338
2024-06-23 22:58:30,0.381,340,340
2024-06-23 22:58:45,0.382,340,340
2024-06-23 22:59:00,0.484,343,343
2024-06-23 22:59:15,0.727,344,344
2024-06-23 22:59:30,0.854,345,345
2024-06-23 22:59:45,0.876,346,346
2024-06-23 23:00:00,1.05,347,347
2024-06-23 23:00:15,1.28,350,350
2024-06-23 23:00:30,1.25,349,349
2024-06-23 23:00:45,1.35,351,351
2024-06-23 23:01:00,1.49,352,352
2024-06-23 23:01:15,1.46,352,352
2024-06-23 23:01:30,1.67,353,353
2024-06-23 23:01:45,1.86,354,354
2024-06-23 23:02:00,1.87,355,355
2024-06-23 23:02:15,1.99,356,356
2024-06-23 23:02:30,2.16,357,357
2024-06-23 23:02:45,2.09,359,359
2024-06-23 23:03:00,2.17,359,359
2024-06-23 23:03:15,2.17,360,360
2024-06-23 23:03:30,2.17,357,357
2024-06-23 23:03:45,2.17,359,359
2024-06-23 23:04:00,2.17,359,359
2024-06-23 23:04:15,2.17,359,359
