"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-23 22:58:15,2386054541,29646,7485,742
2024-06-23 22:58:30,2386100123,30065,8203,792
2024-06-23 22:58:45,2386182537,31234,9154,1037
2024-06-23 22:59:00,2386667222,49771,19192,3261
2024-06-23 22:59:15,2388041618,86519,37462,7463
2024-06-23 22:59:30,2388798566,107804,47999,10267
2024-06-23 22:59:45,2390200959,151062,68458,15207
2024-06-23 23:00:00,2391126398,185990,78695,19485
2024-06-23 23:00:15,2392303915,215418,98311,23069
2024-06-23 23:00:30,2393133945,244081,111461,25618
2024-06-23 23:00:45,2394425578,279347,129650,30901
2024-06-23 23:01:00,2395286079,307220,141230,34347
2024-06-23 23:01:15,2396472283,343236,158138,38887
2024-06-23 23:01:30,2397290954,364533,170600,41551
2024-06-23 23:01:45,2398559164,407895,186279,46906
2024-06-23 23:02:00,2399311727,434126,196302,50264
2024-06-23 23:02:15,2400606129,470993,215478,54597
2024-06-23 23:02:30,2401406684,491212,224581,58046
2024-06-23 23:02:45,2402648475,534125,243337,62475
2024-06-23 23:03:00,2403072497,547812,249544,64062
2024-06-23 23:03:15,2403148219,548484,250584,64068
2024-06-23 23:03:30,2403201331,548988,251091,64108
2024-06-23 23:03:45,2403269737,549671,252158,64118
2024-06-23 23:04:00,2403325986,550113,252659,64153
2024-06-23 23:04:15,2403393475,550867,253709,64157
