"Time","machine69","machine70","Total","machine77"
2024-06-23 22:58:15,229,305,838,310
2024-06-23 22:58:30,233,303,847,306
2024-06-23 22:58:45,231,303,839,308
2024-06-23 22:59:00,255,355,908,351
2024-06-23 22:59:15,364,412,1223,406
2024-06-23 22:59:30,415,506,1395,499
2024-06-23 22:59:45,487,548,1585,548
2024-06-23 23:00:00,483,545,1585,542
2024-06-23 23:00:15,502,571,1643,569
2024-06-23 23:00:30,499,571,1662,578
2024-06-23 23:00:45,509,583,1694,590
2024-06-23 23:01:00,524,591,1728,587
2024-06-23 23:01:15,549,627,1825,618
2024-06-23 23:01:30,577,687,1930,677
2024-06-23 23:01:45,583,698,1982,701
2024-06-23 23:02:00,592,697,1990,699
2024-06-23 23:02:15,589,692,1971,693
2024-06-23 23:02:30,583,677,1942,677
2024-06-23 23:02:45,581,671,1931,675
2024-06-23 23:03:00,553,606,1832,617
2024-06-23 23:03:15,444,545,1487,556
2024-06-23 23:03:30,386,406,1228,413
2024-06-23 23:03:45,273,343,954,350
2024-06-23 23:04:00,260,330,925,329
2024-06-23 23:04:15,254,331,927,330
