"Time","machine69","machine70","All Machines"
2024-04-18 10:08:00,0.000500,0.000446,0.00117
2024-04-18 10:08:15,0.000500,0.000446,0.00117
2024-04-18 10:08:30,0.000511,0.000446,0.00139
2024-04-18 10:08:45,0.000511,0.000446,0.00139
2024-04-18 10:09:00,0.000511,0.000450,0.00139
2024-04-18 10:09:15,0.000511,0.000450,0.00139
2024-04-18 10:09:30,0.00133,0.000450,0.00343
2024-04-18 10:09:45,0.00133,0.000450,0.00343
2024-04-18 10:10:00,0.00133,0.00407,0.00705
2024-04-18 10:10:15,0.00109,0.00407,0.00681
2024-04-18 10:10:30,0.00730,0.00384,0.0178
2024-04-18 10:10:45,0.00730,0.00384,0.0178
2024-04-18 10:11:00,0.00730,0.00894,0.0229
2024-04-18 10:11:15,0.00730,0.00894,0.0229
2024-04-18 10:11:30,0.0136,0.00894,0.0345
2024-04-18 10:11:45,0.0136,0.00894,0.0345
2024-04-18 10:12:00,0.0136,0.0143,0.0398
2024-04-18 10:12:15,0.0136,0.0143,0.0398
2024-04-18 10:12:30,0.0199,0.0143,0.0513
2024-04-18 10:12:45,0.0199,0.0143,0.0513
2024-04-18 10:13:00,0.0199,0.0195,0.0565
2024-04-18 10:13:15,0.0199,0.0195,0.0565
