"Time","orderers","peers","Total"
2024-04-18 10:08:00,0.133,0.441,0.573
2024-04-18 10:08:15,0.134,0.445,0.580
2024-04-18 10:08:30,0.170,0.561,0.731
2024-04-18 10:08:45,0.171,0.562,0.732
2024-04-18 10:09:00,0.171,0.562,0.733
2024-04-18 10:09:15,0.210,0.594,0.804
2024-04-18 10:09:30,0.266,0.605,0.872
2024-04-18 10:09:45,0.330,0.631,0.962
2024-04-18 10:10:00,0.345,0.649,0.994
2024-04-18 10:10:15,0.376,0.602,0.978
2024-04-18 10:10:30,0.373,0.424,0.797
2024-04-18 10:10:45,0.324,0.438,0.761
2024-04-18 10:11:00,0.393,0.461,0.854
2024-04-18 10:11:15,0.450,0.474,0.925
2024-04-18 10:11:30,0.425,0.494,0.919
2024-04-18 10:11:45,0.493,0.514,1.01
2024-04-18 10:12:00,0.552,0.529,1.08
2024-04-18 10:12:15,0.528,0.548,1.08
2024-04-18 10:12:30,0.586,0.563,1.15
2024-04-18 10:12:45,0.653,0.576,1.23
2024-04-18 10:13:00,0.593,0.589,1.18
2024-04-18 10:13:15,0.645,0.627,1.27
