"Time","machine69","machine70","Total"
2024-04-17 22:21:00,2.79,3.07,7.81
2024-04-17 22:21:15,2.73,2.96,7.55
2024-04-17 22:21:30,2.61,2.94,7.44
2024-04-17 22:21:45,2.51,2.92,7.36
2024-04-17 22:22:00,2.56,2.92,7.46
2024-04-17 22:22:15,2.57,2.84,7.36
2024-04-17 22:22:30,2.52,2.91,7.50
2024-04-17 22:22:45,2.57,2.88,7.45
2024-04-17 22:23:00,2.58,3.08,7.86
2024-04-17 22:23:15,18.8,21.6,52.9
2024-04-17 22:23:30,41.8,45.1,110
2024-04-17 22:23:45,61.6,71.2,170
2024-04-17 22:24:00,81.0,92.8,222
2024-04-17 22:24:15,79.7,94.7,224
2024-04-17 22:24:30,78.6,96.1,224
2024-04-17 22:24:45,81.8,89.9,222
2024-04-17 22:25:00,83.6,86.0,222
2024-04-17 22:25:15,85.1,85.8,220
2024-04-17 22:25:30,87.0,83.8,222
2024-04-17 22:25:45,87.7,81.6,221
2024-04-17 22:26:00,88.9,82.3,221
2024-04-17 22:26:15,89.7,81.3,221
2024-04-17 22:26:30,90.1,81.7,222
2024-04-17 22:26:45,90.1,81.6,223
2024-04-17 22:27:00,90.9,82.1,225
2024-04-17 22:27:15,75.6,63.9,179
2024-04-17 22:27:30,51.0,42.2,122
2024-04-17 22:27:45,28.1,20.0,64.9
