"Time","machine69","machine70","All Machines"
2024-04-17 22:21:00,0.175,0.136,0.307
2024-04-17 22:21:15,0.00141,0.136,0.221
2024-04-17 22:21:30,0.00141,0.00143,0.00208
2024-04-17 22:21:45,0.00141,0.00143,0.00208
2024-04-17 22:22:00,0.00141,0.00143,0.00208
2024-04-17 22:22:15,0.00141,0.00143,0.00208
2024-04-17 22:22:30,0.00141,0.00143,0.00208
2024-04-17 22:22:45,0.00141,0.00143,0.00208
2024-04-17 22:23:00,0.00141,0.00143,0.00208
2024-04-17 22:23:15,0.00141,0.00143,0.00208
2024-04-17 22:23:30,0.0101,0.00143,0.0179
2024-04-17 22:23:45,0.0101,0.00143,0.0179
2024-04-17 22:24:00,0.0101,0.0585,0.0465
2024-04-17 22:24:15,0.0101,0.0585,0.0465
2024-04-17 22:24:30,0.0531,0.0585,0.105
2024-04-17 22:24:45,0.0531,0.0585,0.105
2024-04-17 22:25:00,0.0531,0.134,0.143
2024-04-17 22:25:15,0.0531,0.134,0.143
2024-04-17 22:25:30,0.0961,0.134,0.202
2024-04-17 22:25:45,0.0961,0.134,0.202
2024-04-17 22:26:00,0.0961,0.210,0.240
2024-04-17 22:26:15,0.0961,0.210,0.240
2024-04-17 22:26:30,0.139,0.210,0.299
2024-04-17 22:26:45,0.139,0.210,0.299
2024-04-17 22:27:00,0.139,0.285,0.337
2024-04-17 22:27:15,0.139,0.285,0.337
2024-04-17 22:27:30,0.174,0.285,0.381
2024-04-17 22:27:45,0.174,0.285,0.381
