"Time","orderers","peers","Total"
2024-04-17 22:21:00,1.53,1.86,3.39
2024-04-17 22:21:15,1.12,1.50,2.61
2024-04-17 22:21:30,0.176,0.619,0.795
2024-04-17 22:21:45,0.177,0.619,0.796
2024-04-17 22:22:00,0.177,0.619,0.796
2024-04-17 22:22:15,0.177,0.587,0.764
2024-04-17 22:22:30,0.178,0.558,0.736
2024-04-17 22:22:45,0.178,0.558,0.736
2024-04-17 22:23:00,0.178,0.559,0.737
2024-04-17 22:23:15,0.310,0.722,1.03
2024-04-17 22:23:30,0.452,0.770,1.22
2024-04-17 22:23:45,0.575,0.808,1.38
2024-04-17 22:24:00,0.532,0.842,1.37
2024-04-17 22:24:15,0.685,0.891,1.58
2024-04-17 22:24:30,0.805,0.929,1.73
2024-04-17 22:24:45,0.751,0.966,1.72
2024-04-17 22:25:00,0.899,0.970,1.87
2024-04-17 22:25:15,0.981,1.03,2.01
2024-04-17 22:25:30,0.940,1.07,2.01
2024-04-17 22:25:45,1.09,1.13,2.21
2024-04-17 22:26:00,1.15,1.15,2.30
2024-04-17 22:26:15,1.17,1.18,2.35
2024-04-17 22:26:30,1.30,1.23,2.52
2024-04-17 22:26:45,1.34,1.26,2.60
2024-04-17 22:27:00,1.36,1.30,2.66
2024-04-17 22:27:15,1.39,1.30,2.69
2024-04-17 22:27:30,1.39,1.30,2.69
2024-04-17 22:27:45,1.39,1.30,2.69
