"Time","machine69","machine70","Total"
2024-04-18 10:26:30,0.754,,0.751
2024-04-18 10:26:45,1.59,,1.56
2024-04-18 10:27:00,2.28,0.619,2.94
2024-04-18 10:27:15,3.01,1.60,4.60
2024-04-18 10:27:30,3.21,2.35,5.91
2024-04-18 10:27:45,3.01,3.32,7.30
2024-04-18 10:28:00,13.3,17.9,39.4
2024-04-18 10:28:15,40.9,40.8,99.9
2024-04-18 10:28:30,62.9,60.5,156
2024-04-18 10:28:45,85.8,82.4,214
2024-04-18 10:29:00,92.3,85.7,227
2024-04-18 10:29:15,89.0,87.1,228
2024-04-18 10:29:30,90.6,85.8,228
2024-04-18 10:29:45,92.6,87.4,232
2024-04-18 10:30:00,91.4,85.7,227
2024-04-18 10:30:15,88.4,87.5,225
2024-04-18 10:30:30,91.2,88.0,233
2024-04-18 10:30:45,90.8,88.0,233
2024-04-18 10:31:00,91.5,88.6,233
2024-04-18 10:31:15,91.7,84.2,229
2024-04-18 10:31:30,89.5,84.2,232
2024-04-18 10:31:45,90.3,83.9,236
