"Time","machine69","machine70","All Machines"
2024-04-18 10:26:00,0.0254,0.0212,0.0678
2024-04-18 10:26:15,0.0254,0.0212,0.0678
2024-04-18 10:26:30,0.0256,0.0212,0.0681
2024-04-18 10:26:45,0.0256,0.0212,0.0681
2024-04-18 10:27:00,0.0256,0.0214,0.0683
2024-04-18 10:27:15,0.0256,0.0214,0.0683
2024-04-18 10:27:30,0.0256,0.0214,0.0685
2024-04-18 10:27:45,0.0256,0.0214,0.0685
2024-04-18 10:28:00,0.0256,0.0215,0.0685
2024-04-18 10:28:15,0.0256,0.0215,0.0685
2024-04-18 10:28:30,0.0299,0.0215,0.0791
2024-04-18 10:28:45,0.0299,0.0215,0.0791
2024-04-18 10:29:00,0.0299,0.0332,0.0908
2024-04-18 10:29:15,0.00451,0.0120,0.0654
2024-04-18 10:29:30,0.0147,0.0120,0.0452
2024-04-18 10:29:45,0.0147,0.0120,0.0452
2024-04-18 10:30:00,0.0147,0.0240,0.0572
2024-04-18 10:30:15,0.0147,0.0240,0.0572
2024-04-18 10:30:30,0.0246,0.0240,0.0791
2024-04-18 10:30:45,0.0246,0.0240,0.0791
2024-04-18 10:31:00,0.0246,0.0361,0.0912
2024-04-18 10:31:15,0.0263,0.0361,0.0912
2024-04-18 10:31:30,0.0350,0.0361,0.114
2024-04-18 10:31:45,0.0350,0.0361,0.114
