"Time","machine69","machine70","Total","machine77"
2024-08-04 13:12:00,0,255,717,254
2024-08-04 13:12:15,0,108,782,264
2024-08-04 13:12:30,0,329,984,264
2024-08-04 13:12:45,0,433,1245,462
2024-08-04 13:13:00,0,503,1396,465
2024-08-04 13:13:15,0.732,460,1459,501
2024-08-04 13:13:30,,502,1461,503
2024-08-04 13:13:45,0,520,1514,511
2024-08-04 13:14:00,0,536,1523,511
2024-08-04 13:14:15,0.00196,453,1539,539
2024-08-04 13:14:30,0,509,1559,539
2024-08-04 13:14:45,0,252,1552,534
2024-08-04 13:15:00,0,506,1581,534
2024-08-04 13:15:15,0.000642,402,1529,485
2024-08-04 13:15:30,,546,1614,485
2024-08-04 13:15:45,,524,1572,549
2024-08-04 13:16:00,0,523,1578,550
2024-08-04 13:16:15,0,367,1466,522
2024-08-04 13:16:30,,441,1250,521
2024-08-04 13:16:45,0,237,997,296
2024-08-04 13:17:00,0.00315,253,797,296
