"Time","Total","Peers","Orderers"
2024-08-01 20:13:00,3.76,3.10,0.660
2024-08-01 20:13:15,4.08,3.24,0.840
2024-08-01 20:13:30,20.4,17.5,2.90
2024-08-01 20:13:45,34.2,27.8,6.34
2024-08-01 20:14:00,56.3,47.9,8.40
2024-08-01 20:14:15,66.6,55.6,11.0
2024-08-01 20:14:30,71.6,60.1,11.4
2024-08-01 20:14:45,75.0,62.5,12.5
2024-08-01 20:15:00,77.8,65.1,12.7
2024-08-01 20:15:15,78.3,65.7,12.7
2024-08-01 20:15:30,78.4,65.7,12.7
2024-08-01 20:15:45,78.5,65.6,12.8
2024-08-01 20:16:00,68.3,57.4,10.9
2024-08-01 20:16:15,65.1,54.4,10.7
2024-08-01 20:16:30,67.7,57.1,10.6
2024-08-01 20:16:45,65.4,54.4,10.9
2024-08-01 20:17:00,78.5,65.4,13.1
2024-08-01 20:17:15,77.5,64.2,13.4
2024-08-01 20:17:30,60.7,49.6,11.1
2024-08-01 20:17:45,44.5,38.0,6.48
2024-08-01 20:18:00,15.6,12.1,3.48
