"Time","machine69","machine70","Total","machine77"
2024-04-19 18:01:30,3.45,4.37,9.81,2.09
2024-04-19 18:01:45,23.0,26.6,62.3,12.5
2024-04-19 18:02:00,47.2,51.5,124,27.0
2024-04-19 18:02:15,70.0,76.8,191,43.3
2024-04-19 18:02:30,88.8,92.7,239,57.6
2024-04-19 18:02:45,89.9,94.2,245,61.6
2024-04-19 18:03:00,90.2,90.8,243,60.5
2024-04-19 18:03:15,92.4,89.0,239,58.7
2024-04-19 18:03:30,92.2,88.9,239,58.1
2024-04-19 18:03:45,91.3,87.7,238,58.6
2024-04-19 18:04:00,87.4,88.7,240,60.3
2024-04-19 18:04:15,91.0,88.5,238,59.5
2024-04-19 18:04:30,91.8,88.0,237,57.6
2024-04-19 18:04:45,93.8,89.4,240,57.1
2024-04-19 18:05:00,92.4,90.7,242,58.4
2024-04-19 18:05:15,91.4,91.5,245,62.6
2024-04-19 18:05:30,92.2,91.1,245,63.1
