"Time","Total","Peers","Orderers","Couchsdb"
2024-06-24 22:27:30,209620,2994,2821,226
2024-06-24 22:27:45,299628,7250,4342,605
2024-06-24 22:28:00,995373,43580,16104,4836
2024-06-24 22:28:15,2133474,81598,34181,10405
2024-06-24 22:28:30,2853484,120948,44380,15142
2024-06-24 22:28:45,3282852,129456,51344,17638
2024-06-24 22:29:00,3267267,124462,51427,17665
2024-06-24 22:29:15,3248402,127542,51087,17760
2024-06-24 22:29:30,3254322,127507,51236,17762
2024-06-24 22:29:45,3260914,127981,51383,17786
2024-06-24 22:30:00,3256156,128470,51595,17837
2024-06-24 22:30:15,3250692,127503,51270,17914
2024-06-24 22:30:30,3200925,126913,51079,18353
2024-06-24 22:30:45,3251824,127070,51053,18384
2024-06-24 22:31:00,3275018,128216,50384,18509
2024-06-24 22:31:15,3302830,129372,51661,18175
2024-06-24 22:31:30,3282152,129481,51566,18341
2024-06-24 22:31:45,3269291,128237,51522,18238
2024-06-24 22:32:00,2599123,106039,42191,14395
2024-06-24 22:32:15,1467906,56095,23603,7977
2024-06-24 22:32:30,767095,29846,11305,3049
2024-06-24 22:32:45,192396,2489,2628,54.7
2024-06-24 22:33:00,191689,2483,2639,85.8
2024-06-24 22:33:15,196738,2475,2651,85.2
2024-06-24 22:33:30,195661,2522,2644,115
