"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-24 22:27:30,2574203535,27608,7525,1046
2024-06-24 22:27:45,2574350707,31459,9643,1417
2024-06-24 22:28:00,2575000484,64389,17906,4615
2024-06-24 22:28:15,2576120603,95227,30890,8894
2024-06-24 22:28:30,2576812596,123717,39388,12244
2024-06-24 22:28:45,2577895181,159726,50862,16519
2024-06-24 22:29:00,2578538497,182044,60234,20640
2024-06-24 22:29:15,2579634137,223707,71996,24112
2024-06-24 22:29:30,2580387841,245620,79644,27536
2024-06-24 22:29:45,2581411626,288322,93652,31713
2024-06-24 22:30:00,2582072786,316378,103440,34371
2024-06-24 22:30:15,2583167455,352285,114715,39424
2024-06-24 22:30:30,2583833108,373196,123115,42131
2024-06-24 22:30:45,2584961912,416614,136628,47048
2024-06-24 22:31:00,2585678380,438654,145432,49558
2024-06-24 22:31:15,2586738511,482068,158431,54743
2024-06-24 22:31:30,2587398354,503856,167435,58120
2024-06-24 22:31:45,2588492592,545225,180579,62285
2024-06-24 22:32:00,2588600178,549495,181815,62667
2024-06-24 22:32:15,2588672232,550254,182625,62682
2024-06-24 22:32:30,2588718257,550692,183186,62700
2024-06-24 22:32:45,2588791183,551426,183960,62710
2024-06-24 22:33:00,2588837221,552108,184393,62736
2024-06-24 22:33:15,2588914208,552646,185204,62750
2024-06-24 22:33:30,2588962370,553200,185761,62764
