"Time","Total","Peers","Orderers"
2024-06-24 22:27:30,4.34,3.62,0.720
2024-06-24 22:27:45,4.82,3.56,1.26
2024-06-24 22:28:00,27.8,23.6,4.22
2024-06-24 22:28:15,44.7,36.0,8.66
2024-06-24 22:28:30,72.4,60.9,11.5
2024-06-24 22:28:45,79.9,66.7,13.1
2024-06-24 22:29:00,80.5,67.4,13.2
2024-06-24 22:29:15,81.2,67.9,13.3
2024-06-24 22:29:30,80.0,66.9,13.2
2024-06-24 22:29:45,79.7,66.8,12.9
2024-06-24 22:30:00,79.0,66.1,12.9
2024-06-24 22:30:15,78.9,66.2,12.8
2024-06-24 22:30:30,77.3,64.6,12.6
2024-06-24 22:30:45,76.8,64.4,12.4
2024-06-24 22:31:00,76.8,64.4,12.5
2024-06-24 22:31:15,78.1,65.2,12.9
2024-06-24 22:31:30,80.1,67.0,13.1
2024-06-24 22:31:45,79.7,66.8,13.0
2024-06-24 22:32:00,58.4,48.1,10.2
2024-06-24 22:32:15,40.8,35.2,5.62
2024-06-24 22:32:30,12.6,9.82,2.76
2024-06-24 22:32:45,4.06,3.40,0.660
2024-06-24 22:33:00,3.90,3.20,0.700
2024-06-24 22:33:15,3.90,3.24,0.660
2024-06-24 22:33:30,3.00,2.48,0.521
