"Time","machine69","machine70","Total","machine77"
2024-08-01 17:05:00,0,279,748,268
2024-08-01 17:05:15,0.000100,342,871,293
2024-08-01 17:05:30,,381,1088,294
2024-08-01 17:05:45,0,426,1451,528
2024-08-01 17:06:00,0,589,1673,526
2024-08-01 17:06:15,1.06,344,1753,586
2024-08-01 17:06:30,,580,1752,587
2024-08-01 17:06:45,0,317,1699,547
2024-08-01 17:07:00,0,558,1671,545
2024-08-01 17:07:15,0.0000356,448,1630,550
2024-08-01 17:07:30,0,534,1623,550
2024-08-01 17:07:45,0,439,1594,529
2024-08-01 17:08:00,0,533,1608,531
2024-08-01 17:08:15,0.0209,343,1606,548
2024-08-01 17:08:30,,528,1610,548
2024-08-01 17:08:45,,440,1621,541
2024-08-01 17:09:00,,537,1567,541
2024-08-01 17:09:15,,195,1392,543
2024-08-01 17:09:30,,1.77,1000,542
2024-08-01 17:09:45,,79.6,888,236
2024-08-01 17:10:00,,0,726,236
