"Time","orderers","peers","Total"
2024-08-01 17:05:00,0.116,4.10,4.10
2024-08-01 17:05:15,0.169,4.26,4.26
2024-08-01 17:05:30,0.223,4.50,4.50
2024-08-01 17:05:45,0.301,4.49,4.49
2024-08-01 17:06:00,0.335,4.68,4.68
2024-08-01 17:06:15,0.393,4.71,4.71
2024-08-01 17:06:30,0.447,4.84,4.84
2024-08-01 17:06:45,0.391,4.89,4.89
2024-08-01 17:07:00,0.434,4.73,4.73
2024-08-01 17:07:15,0.521,4.78,4.78
2024-08-01 17:07:30,0.533,5.07,5.07
2024-08-01 17:07:45,0.544,4.93,4.93
2024-08-01 17:08:00,0.590,4.82,4.82
2024-08-01 17:08:15,0.588,4.97,4.97
2024-08-01 17:08:30,0.653,5.03,5.03
2024-08-01 17:08:45,0.710,5.30,5.30
2024-08-01 17:09:00,0.729,5.27,5.27
2024-08-01 17:09:15,0.695,5.30,5.30
2024-08-01 17:09:30,0.702,5.38,5.38
2024-08-01 17:09:45,0.709,5.53,5.53
2024-08-01 17:10:00,0.709,5.46,5.46
