"Time","Total","Peers","Orderers","Ledgers"
2024-06-14 17:45:00,1,1,0,0
2024-06-14 17:45:15,1,0,0,0
2024-06-14 17:45:30,2,0,0,0
2024-06-14 17:45:45,4,0,0,0
2024-06-14 17:46:00,1,0,0,0
2024-06-14 17:46:15,172,0,0,2
2024-06-14 17:46:30,0,0,0,0
2024-06-14 17:46:45,1,0,0,0
2024-06-14 17:47:00,0,0,0,0
2024-06-14 17:47:15,2,0,0,0
2024-06-14 17:47:30,33,0,31,0
2024-06-14 17:47:45,98,20,0,2
2024-06-14 17:48:00,5,0,0,0
2024-06-14 17:48:15,14,0,0,0
2024-06-14 17:48:30,0,0,0,0
2024-06-14 17:48:45,5,0,1,0
2024-06-14 17:49:00,0,0,0,0
2024-06-14 17:49:15,15,0,15,0
2024-06-14 17:49:30,0,0,0,0
2024-06-14 17:49:45,0,0,0,0
2024-06-14 17:50:00,0,0,0,0
2024-06-14 17:50:15,0,0,0,0
2024-06-14 17:50:30,1,0,0,0
2024-06-14 17:50:45,1,0,0,0
2024-06-14 17:51:00,0,0,0,0
