"Time","orderers","peers","Total"
2024-08-04 14:57:00,0.128,3.80,3.80
2024-08-04 14:57:15,0.164,3.97,3.97
2024-08-04 14:57:30,0.204,4.08,4.08
2024-08-04 14:57:45,0.285,4.04,4.04
2024-08-04 14:58:00,0.314,4.16,4.16
2024-08-04 14:58:15,0.352,4.15,4.15
2024-08-04 14:58:30,0.394,4.31,4.31
2024-08-04 14:58:45,0.439,4.55,4.55
2024-08-04 14:59:00,0.418,4.41,4.41
2024-08-04 14:59:15,0.505,4.55,4.55
2024-08-04 14:59:30,0.531,4.43,4.43
2024-08-04 14:59:45,0.531,4.67,4.67
2024-08-04 15:00:00,0.587,4.63,4.63
2024-08-04 15:00:15,0.630,4.69,4.69
2024-08-04 15:00:30,0.631,4.71,4.71
2024-08-04 15:00:45,0.690,4.91,4.91
2024-08-04 15:01:00,0.732,4.78,4.78
2024-08-04 15:01:15,0.707,4.84,4.84
2024-08-04 15:01:30,0.710,4.82,4.82
2024-08-04 15:01:45,0.710,4.98,4.98
2024-08-04 15:02:00,0.710,5.05,5.05
