"Time","machine69","machine70","Total","machine77"
2024-08-04 14:57:00,0,254,742,260
2024-08-04 14:57:15,0.0000323,272,779,264
2024-08-04 14:57:30,,317,990,264
2024-08-04 14:57:45,0,484,1305,512
2024-08-04 14:58:00,0,580,1490,512
2024-08-04 14:58:15,0,267,1539,533
2024-08-04 14:58:30,,496,1491,533
2024-08-04 14:58:45,0,377,1455,484
2024-08-04 14:59:00,0,494,1465,486
2024-08-04 14:59:15,0,458,1518,519
2024-08-04 14:59:30,,514,1544,519
2024-08-04 14:59:45,,491,1515,499
2024-08-04 15:00:00,0,480,1500,499
2024-08-04 15:00:15,0,392,1635,566
2024-08-04 15:00:30,,607,1693,574
2024-08-04 15:00:45,0,439,1769,597
2024-08-04 15:01:00,0,572,1741,590
2024-08-04 15:01:15,0.000661,474,1632,574
2024-08-04 15:01:30,,533,1435,575
2024-08-04 15:01:45,0,213,1149,349
2024-08-04 15:02:00,0,300,904,348
