"Time","machine69","machine70","All Machines"
2024-04-18 11:07:00,0.00148,0.00131,0.00204
2024-04-18 11:07:15,0.00148,0.00131,0.00204
2024-04-18 11:07:30,0.00148,0.00134,0.00205
2024-04-18 11:07:45,0.00148,0.00134,0.00205
2024-04-18 11:08:00,0.00148,0.00134,0.00205
2024-04-18 11:08:15,0.00148,0.00134,0.00205
2024-04-18 11:08:30,0.00148,0.0253,0.0140
2024-04-18 11:08:45,0.00148,0.0253,0.0140
2024-04-18 11:09:00,0.0630,0.0253,0.0681
2024-04-18 11:09:15,0.0630,0.0253,0.0681
2024-04-18 11:09:30,0.0630,0.100,0.106
2024-04-18 11:09:45,0.0630,0.100,0.106
2024-04-18 11:10:00,0.144,0.100,0.173
2024-04-18 11:10:15,0.144,0.100,0.173
2024-04-18 11:10:30,0.144,0.175,0.211
2024-04-18 11:10:45,0.144,0.175,0.211
2024-04-18 11:11:00,0.221,0.175,0.276
2024-04-18 11:11:15,0.221,0.175,0.276
2024-04-18 11:11:30,0.221,0.250,0.314
2024-04-18 11:11:45,0.221,0.250,0.314
2024-04-18 11:12:00,0.306,0.250,0.383
