"Time","machine69","machine70","Total"
2024-04-18 11:07:00,3.31,2.46,5.57
2024-04-18 11:07:15,3.12,3.44,7.12
2024-04-18 11:07:30,3.14,3.39,7.91
2024-04-18 11:07:45,2.91,3.29,8.09
2024-04-18 11:08:00,3.01,3.70,8.48
2024-04-18 11:08:15,19.9,23.6,51.9
2024-04-18 11:08:30,46.7,45.6,116
2024-04-18 11:08:45,71.9,64.7,180
2024-04-18 11:09:00,95.1,87.4,229
2024-04-18 11:09:15,95.5,87.6,232
2024-04-18 11:09:30,94.9,86.2,230
2024-04-18 11:09:45,95.4,85.8,231
2024-04-18 11:10:00,95.8,86.7,236
2024-04-18 11:10:15,93.0,87.0,235
2024-04-18 11:10:30,93.4,88.3,235
2024-04-18 11:10:45,93.4,87.7,232
2024-04-18 11:11:00,94.3,87.2,230
2024-04-18 11:11:15,96.8,84.7,230
2024-04-18 11:11:30,97.1,85.1,230
2024-04-18 11:11:45,97.1,84.6,230
2024-04-18 11:12:00,97.3,85.5,230
