"Time","machine69","machine70","All Machines"
2024-04-17 22:41:00,0.00141,0.305,0.305
2024-04-17 22:41:15,0.00141,0.00143,0.00207
2024-04-17 22:41:30,0.00141,0.00143,0.00207
2024-04-17 22:41:45,0.00141,0.00143,0.00207
2024-04-17 22:42:00,0.00141,0.00143,0.00207
2024-04-17 22:42:15,0.00275,0.00143,0.00274
2024-04-17 22:42:30,0.00275,0.00143,0.00274
2024-04-17 22:42:45,0.00275,0.00284,0.00344
2024-04-17 22:43:00,0.00275,0.00284,0.00344
2024-04-17 22:43:15,0.00280,0.00284,0.00411
2024-04-17 22:43:30,0.00280,0.00284,0.00411
2024-04-17 22:43:45,0.00280,0.00287,0.00412
2024-04-17 22:44:00,0.00280,0.00287,0.00412
2024-04-17 22:44:15,0.0243,0.00287,0.0217
2024-04-17 22:44:30,0.0243,0.00287,0.0217
2024-04-17 22:44:45,0.0243,0.0313,0.0359
2024-04-17 22:45:00,0.0228,0.0313,0.0352
2024-04-17 22:45:15,0.113,0.0298,0.0956
2024-04-17 22:45:30,0.113,0.0298,0.0956
2024-04-17 22:45:45,0.113,0.0638,0.113
2024-04-17 22:46:00,0.113,0.0638,0.113
2024-04-17 22:46:15,0.199,0.0638,0.172
2024-04-17 22:46:30,0.199,0.0638,0.172
2024-04-17 22:46:45,0.199,0.0971,0.188
2024-04-17 22:47:00,0.199,0.0971,0.188
2024-04-17 22:47:15,0.284,0.0971,0.247
2024-04-17 22:47:30,0.284,0.0971,0.247
2024-04-17 22:47:45,0.284,0.130,0.264
