"Time","machine69","machine70","Total"
2024-04-17 22:41:00,,0.692,0.986
2024-04-17 22:42:15,0.545,,0.539
2024-04-17 22:42:30,1.21,,1.21
2024-04-17 22:42:45,2.04,0.279,2.47
2024-04-17 22:43:00,2.75,1.07,3.95
2024-04-17 22:43:15,3.06,2.03,5.40
2024-04-17 22:43:30,2.85,2.80,6.46
2024-04-17 22:43:45,3.00,4.61,8.64
2024-04-17 22:44:00,21.2,15.8,41.6
2024-04-17 22:44:15,43.1,43.3,108
2024-04-17 22:44:30,69.9,62.9,167
2024-04-17 22:44:45,87.5,76.8,206
2024-04-17 22:45:00,94.8,82.8,222
2024-04-17 22:45:15,91.4,82.4,216
2024-04-17 22:45:30,90.8,86.5,221
2024-04-17 22:45:45,92.2,82.4,220
2024-04-17 22:46:00,91.8,84.1,217
2024-04-17 22:46:15,88.7,86.1,221
2024-04-17 22:46:30,91.2,86.9,221
2024-04-17 22:46:45,92.1,86.5,223
2024-04-17 22:47:00,92.6,85.8,223
2024-04-17 22:47:15,94.1,82.6,218
2024-04-17 22:47:30,95.4,81.8,222
2024-04-17 22:47:45,96.5,81.1,224
