"Time","Total","Peers","Orderers","Ledgers"
2024-04-17 23:21:45,0,0,0,0
2024-04-17 23:22:00,0,0,0,0
2024-04-17 23:22:15,0,0,0,0
2024-04-17 23:22:30,0,0,0,0
2024-04-17 23:22:45,0,0,0,0
2024-04-17 23:23:00,0,0,0,0
2024-04-17 23:23:15,2,1,0,1
2024-04-17 23:23:30,0,0,0,0
2024-04-17 23:23:45,1,1,0,0
2024-04-17 23:24:00,1,0,0,1
2024-04-17 23:24:15,3,0,0,3
2024-04-17 23:24:30,0,0,0,0
2024-04-17 23:24:45,0,0,0,0
2024-04-17 23:25:00,0,0,0,0
2024-04-17 23:25:15,0,0,0,0
2024-04-17 23:25:30,3,1,2,0
2024-04-17 23:25:45,0,0,0,0
2024-04-17 23:26:00,2,0,0,2
2024-04-17 23:26:15,1,1,0,0
2024-04-17 23:26:30,1,1,0,0
2024-04-17 23:26:45,1,1,0,0
2024-04-17 23:27:00,1,0,0,1
