"Time","machine69","machine70","Total"
2024-04-17 23:21:45,2.17,0.614,2.79
2024-04-17 23:22:00,2.83,1.37,4.19
2024-04-17 23:22:15,3.12,2.24,5.55
2024-04-17 23:22:30,3.00,2.98,6.81
2024-04-17 23:22:45,3.07,3.02,7.37
2024-04-17 23:23:00,2.79,3.16,7.42
2024-04-17 23:23:15,17.9,18.7,44.6
2024-04-17 23:23:30,39.1,35.0,96.9
2024-04-17 23:23:45,61.4,52.1,149
2024-04-17 23:24:00,82.6,65.1,194
2024-04-17 23:24:15,84.4,69.6,198
2024-04-17 23:24:30,84.6,69.4,200
2024-04-17 23:24:45,85.4,76.0,205
2024-04-17 23:25:00,87.1,78.9,210
2024-04-17 23:25:15,88.2,78.1,214
2024-04-17 23:25:30,88.7,80.6,215
2024-04-17 23:25:45,89.0,78.8,216
2024-04-17 23:26:00,89.7,79.4,211
2024-04-17 23:26:15,89.4,78.9,213
2024-04-17 23:26:30,90.0,78.1,211
2024-04-17 23:26:45,91.5,76.1,213
2024-04-17 23:27:00,94.1,74.7,215
