"Time","orderers","peers","Total"
2024-04-19 19:15:00,0.824,0.840,1.66
2024-04-19 19:15:15,0.329,0.463,0.791
2024-04-19 19:15:30,0.387,0.471,0.858
2024-04-19 19:15:45,0.440,0.489,0.930
2024-04-19 19:16:00,0.412,0.503,0.915
2024-04-19 19:16:15,0.481,0.521,1.00
2024-04-19 19:16:30,0.551,0.545,1.10
2024-04-19 19:16:45,0.524,0.562,1.09
2024-04-19 19:17:00,0.582,0.579,1.16
2024-04-19 19:17:15,0.616,0.595,1.21
2024-04-19 19:17:30,0.618,0.613,1.23
2024-04-19 19:17:45,0.639,0.621,1.26
2024-04-19 19:18:00,0.640,0.621,1.26
