"Time","Total","Peers","Orderers"
2024-04-19 19:15:00,88.3,75.7,12.6
2024-04-19 19:15:15,87.3,74.6,12.7
2024-04-19 19:15:30,86.5,73.9,12.6
2024-04-19 19:15:45,86.5,73.6,12.8
2024-04-19 19:16:00,90.2,77.1,13.2
2024-04-19 19:16:15,91.5,78.4,13.1
2024-04-19 19:16:30,93.5,80.3,13.1
2024-04-19 19:16:45,95.9,82.6,13.3
2024-04-19 19:17:00,96.3,83.1,13.2
2024-04-19 19:17:15,95.2,82.2,13.0
2024-04-19 19:17:30,94.5,81.5,13.0
2024-04-19 19:17:45,75.9,65.1,10.8
2024-04-19 19:18:00,52.2,44.5,7.69
