"Time","machine69","machine70","Total"
2024-04-17 23:06:00,2.58,3.07,7.66
2024-04-17 23:06:15,2.61,3.10,7.73
2024-04-17 23:06:30,2.63,3.14,7.76
2024-04-17 23:06:45,2.67,3.16,7.73
2024-04-17 23:07:00,2.68,3.04,7.67
2024-04-17 23:07:15,2.79,2.98,7.85
2024-04-17 23:07:30,11.6,15.5,31.0
2024-04-17 23:07:45,34.1,36.5,85.7
2024-04-17 23:08:00,56.8,55.2,140
2024-04-17 23:08:15,77.7,74.2,192
2024-04-17 23:08:30,84.1,82.9,209
2024-04-17 23:08:45,82.7,85.2,210
2024-04-17 23:09:00,83.1,83.4,213
2024-04-17 23:09:15,74.6,78.2,198
2024-04-17 23:09:30,82.0,79.3,205
2024-04-17 23:09:45,86.7,76.2,208
2024-04-17 23:10:00,89.7,77.0,210
2024-04-17 23:10:15,92.6,80.3,219
2024-04-17 23:10:30,87.9,77.8,206
2024-04-17 23:10:45,87.6,82.2,213
2024-04-17 23:11:00,88.5,84.9,218
2024-04-17 23:11:15,92.3,90.6,225
2024-04-17 23:11:30,86.1,75.3,204
2024-04-17 23:11:45,60.5,50.0,141
