"Time","Total","Peers","Orderers"
2024-06-24 23:36:30,738,0.151,0.000660
2024-06-24 23:36:45,738,0.151,0.00101
2024-06-24 23:37:00,738,0.151,0.00110
2024-06-24 23:37:15,738,0.151,0.00110
2024-06-24 23:37:30,738,0.151,0.00110
2024-06-24 23:37:45,738,0.157,0.00279
2024-06-24 23:38:00,738,0.157,0.00307
2024-06-24 23:38:15,738,0.157,0.00307
2024-06-24 23:38:30,738,0.157,0.00307
2024-06-24 23:38:45,738,0.162,0.00475
2024-06-24 23:39:00,739,0.162,0.00502
2024-06-24 23:39:15,739,0.162,0.00502
2024-06-24 23:39:30,739,0.162,0.00502
2024-06-24 23:39:45,739,0.168,0.00671
2024-06-24 23:40:00,739,0.168,0.00699
2024-06-24 23:40:15,739,0.168,0.00699
2024-06-24 23:40:30,739,0.168,0.00699
2024-06-24 23:40:45,739,0.172,0.00836
2024-06-24 23:41:00,739,0.172,0.00854
2024-06-24 23:41:15,739,0.172,0.00854
2024-06-24 23:41:30,739,0.172,0.00854
