"Time","Total","Peers","Orderers","Ledgers"
2024-06-24 23:36:30,0,0,0,0
2024-06-24 23:36:45,2,0,0,0
2024-06-24 23:37:00,0,0,0,0
2024-06-24 23:37:15,6,0,0,0
2024-06-24 23:37:30,6,3,0,0
2024-06-24 23:37:45,1,0,0,0
2024-06-24 23:38:00,2,0,0,0
2024-06-24 23:38:15,185,0,0,0
2024-06-24 23:38:30,0,0,0,0
2024-06-24 23:38:45,186,0,0,0
2024-06-24 23:39:00,4,1,0,0
2024-06-24 23:39:15,0,0,0,0
2024-06-24 23:39:30,1,0,0,0
2024-06-24 23:39:45,9,0,0,1
2024-06-24 23:40:00,1,0,0,0
2024-06-24 23:40:15,1,0,0,0
2024-06-24 23:40:30,0,0,0,0
2024-06-24 23:40:45,0,0,0,0
2024-06-24 23:41:00,0,0,0,0
2024-06-24 23:41:15,0,0,0,0
2024-06-24 23:41:30,0,0,0,0
