"Time","machine69","machine70","All Machines"
2024-04-17 22:00:15,0.00361,0.00332,0.00411
2024-04-17 22:00:30,0.00361,0.00354,0.00411
2024-04-17 22:00:45,0.00361,0.0118,0.00836
2024-04-17 22:01:00,0.0312,0.00992,0.0222
2024-04-17 22:01:15,0.0312,0.00992,0.0511
2024-04-17 22:01:30,0.0312,0.0423,0.0511
2024-04-17 22:01:45,0.0312,0.0431,0.0677
2024-04-17 22:02:00,0.0743,0.0431,0.0892
2024-04-17 22:02:15,0.0743,0.0431,0.127
2024-04-17 22:02:30,0.0743,0.0763,0.127
2024-04-17 22:02:45,0.0743,0.0763,0.143
2024-04-17 22:03:00,0.117,0.0763,0.165
2024-04-17 22:03:15,0.117,0.0763,0.202
2024-04-17 22:03:30,0.117,0.109,0.202
2024-04-17 22:03:45,0.117,0.110,0.219
2024-04-17 22:04:00,0.160,0.110,0.240
2024-04-17 22:04:15,0.160,0.110,0.278
2024-04-17 22:04:30,0.160,0.134,0.278
2024-04-17 22:04:45,0.160,0.135,0.290
2024-04-17 22:05:00,0.174,0.135,0.297
2024-04-17 22:05:15,0.174,0.135,0.305
