"Time","machine69","machine70","Total","machine77"
2024-06-13 13:43:00,242,289,818,289
2024-06-13 13:43:15,231,286,797,287
2024-06-13 13:43:30,232,291,817,288
2024-06-13 13:43:45,232,292,826,293
2024-06-13 13:44:00,233,290,823,290
2024-06-13 13:44:15,232,293,814,293
2024-06-13 13:44:30,235,292,813,289
2024-06-13 13:44:45,231,292,812,292
2024-06-13 13:45:00,273,355,938,348
2024-06-13 13:45:15,375,402,1206,394
2024-06-13 13:45:30,427,490,1370,480
2024-06-13 13:45:45,505,503,1523,509
2024-06-13 13:46:00,519,542,1581,539
2024-06-13 13:46:15,534,568,1681,569
2024-06-13 13:46:30,538,606,1727,605
2024-06-13 13:46:45,511,608,1728,609
2024-06-13 13:47:00,517,597,1727,597
2024-06-13 13:47:15,510,605,1721,601
2024-06-13 13:47:30,524,610,1738,608
2024-06-13 13:47:45,542,599,1748,603
2024-06-13 13:48:00,546,608,1762,609
2024-06-13 13:48:15,517,613,1739,612
2024-06-13 13:48:30,498,597,1605,598
2024-06-13 13:48:45,480,586,1635,585
2024-06-13 13:49:00,440,474,1415,484
2024-06-13 13:49:15,342,432,1182,437
2024-06-13 13:49:30,293,338,982,341
2024-06-13 13:49:45,235,310,862,305
2024-06-13 13:50:00,236,298,840,299
