"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-14 18:12:00,1472897532,32730,8833,821
2024-06-14 18:12:15,1472983985,33734,9885,1055
2024-06-14 18:12:30,1473469022,40963,19275,2812
2024-06-14 18:12:45,1474796083,83076,39852,7091
2024-06-14 18:13:00,1475704528,105529,52598,10416
2024-06-14 18:13:15,1477071131,147399,76672,14781
2024-06-14 18:13:30,1478045160,167631,91219,18145
2024-06-14 18:13:45,1479345133,210344,112342,22328
2024-06-14 18:14:00,1480224369,238276,124582,25749
2024-06-14 18:14:15,1481664695,273564,147951,30163
2024-06-14 18:14:30,1482479916,301460,164094,32539
2024-06-14 18:14:45,1483951925,338312,183829,37690
2024-06-14 18:15:00,1484839029,365832,201608,41886
2024-06-14 18:15:15,1486216028,400011,218217,45381
2024-06-14 18:15:30,1487134028,434039,236524,49622
2024-06-14 18:15:45,1488495785,462971,252723,53169
2024-06-14 18:16:00,1489459772,498526,264340,56694
2024-06-14 18:16:15,1490744582,526705,287375,61177
2024-06-14 18:16:30,1491343675,543979,296237,63263
2024-06-14 18:16:45,1491417521,544830,297142,63280
2024-06-14 18:17:00,1491465197,545369,298079,63315
2024-06-14 18:17:15,1491542021,546016,298691,63337
2024-06-14 18:17:30,1491592020,546525,299235,63380
2024-06-14 18:17:45,1491664312,547264,300287,63398
2024-06-14 18:18:00,1491720929,547713,301035,63437
