"Time","machine69","machine70","Total","machine77"
2024-06-14 18:12:00,230,307,844,307
2024-06-14 18:12:15,229,314,846,313
2024-06-14 18:12:30,245,353,906,346
2024-06-14 18:12:45,330,397,1157,392
2024-06-14 18:13:00,376,484,1323,477
2024-06-14 18:13:15,457,551,1573,549
2024-06-14 18:13:30,456,555,1575,556
2024-06-14 18:13:45,454,569,1595,569
2024-06-14 18:14:00,456,557,1613,563
2024-06-14 18:14:15,461,584,1644,578
2024-06-14 18:14:30,465,583,1628,585
2024-06-14 18:14:45,461,564,1583,568
2024-06-14 18:15:00,455,533,1527,538
2024-06-14 18:15:15,478,540,1569,544
2024-06-14 18:15:30,482,561,1603,564
2024-06-14 18:15:45,514,578,1685,579
2024-06-14 18:16:00,531,569,1654,570
2024-06-14 18:16:15,563,577,1730,578
2024-06-14 18:16:30,559,541,1664,546
2024-06-14 18:16:45,434,494,1390,502
2024-06-14 18:17:00,369,384,1165,388
2024-06-14 18:17:15,253,332,907,336
2024-06-14 18:17:30,247,321,897,321
2024-06-14 18:17:45,244,330,900,324
2024-06-14 18:18:00,239,316,884,315
