"Time","Total","Peers","Orderers","Ledgers"
2024-06-13 14:29:00,0,0,0,0
2024-06-13 14:29:15,0,0,0,0
2024-06-13 14:29:30,0,0,0,0
2024-06-13 14:29:45,0,0,0,0
2024-06-13 14:30:00,2,0,0,0
2024-06-13 14:30:15,0,0,0,0
2024-06-13 14:30:30,2,0,0,0
2024-06-13 14:30:45,4,0,0,0
2024-06-13 14:31:00,25,0,0,0
2024-06-13 14:31:15,2,0,0,0
2024-06-13 14:31:30,10,0,0,0
2024-06-13 14:31:45,18,6,6,0
2024-06-13 14:32:00,0,0,0,0
2024-06-13 14:32:15,92,0,0,0
2024-06-13 14:32:30,8,0,0,0
2024-06-13 14:32:45,5,0,0,0
2024-06-13 14:33:00,120,0,0,0
2024-06-13 14:33:15,4,0,0,0
2024-06-13 14:33:30,4,0,0,0
2024-06-13 14:33:45,107,0,22,44
2024-06-13 14:34:00,147,0,0,3
2024-06-13 14:34:15,1,0,0,1
2024-06-13 14:34:30,2,0,2,0
2024-06-13 14:34:45,0,0,0,0
2024-06-13 14:35:00,0,0,0,0
