"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-13 14:29:00,1191328367,35504,5662,748
2024-06-13 14:29:15,1191400174,36347,6536,751
2024-06-13 14:29:30,1191445491,36871,7172,779
2024-06-13 14:29:45,1191520088,37677,7801,969
2024-06-13 14:30:00,1191671374,42085,9951,1556
2024-06-13 14:30:15,1192557365,72841,22672,5375
2024-06-13 14:30:30,1193166999,99558,30340,7890
2024-06-13 14:30:45,1194332241,137854,44736,12774
2024-06-13 14:31:00,1194972555,157102,52178,15477
2024-06-13 14:31:15,1196046333,200023,66731,20504
2024-06-13 14:31:30,1196604706,223629,73120,23969
2024-06-13 14:31:45,1197674481,259696,87559,28321
2024-06-13 14:32:00,1198301914,293445,95555,31860
2024-06-13 14:32:15,1199384630,322412,108585,35967
2024-06-13 14:32:30,1200048001,342794,116417,38689
2024-06-13 14:32:45,1201172675,383565,129557,43843
2024-06-13 14:33:00,1201847717,406598,138776,46500
2024-06-13 14:33:15,1202865190,448535,153668,51520
2024-06-13 14:33:30,1203484308,469981,161405,54908
2024-06-13 14:33:45,1204539061,510192,173846,59134
2024-06-13 14:34:00,1205125628,534815,181902,61694
2024-06-13 14:34:15,1205462658,543496,185658,63092
2024-06-13 14:34:30,1205509761,543897,186094,63114
2024-06-13 14:34:45,1205579568,544675,186953,63135
2024-06-13 14:35:00,1205641512,545276,187492,63164
