"Time","machine69","machine70","Total","machine77"
2024-06-13 14:29:00,235,306,853,305
2024-06-13 14:29:15,237,308,852,305
2024-06-13 14:29:30,234,301,842,303
2024-06-13 14:29:45,234,301,779,300
2024-06-13 14:30:00,231,304,840,299
2024-06-13 14:30:15,320,376,1090,365
2024-06-13 14:30:30,381,471,1267,463
2024-06-13 14:30:45,495,516,1553,508
2024-06-13 14:31:00,545,524,1629,525
2024-06-13 14:31:15,551,522,1596,523
2024-06-13 14:31:30,550,556,1635,553
2024-06-13 14:31:45,547,598,1774,596
2024-06-13 14:32:00,538,670,1856,667
2024-06-13 14:32:15,529,722,1992,705
2024-06-13 14:32:30,521,698,1917,703
2024-06-13 14:32:45,505,681,1871,688
2024-06-13 14:33:00,515,665,1853,668
2024-06-13 14:33:15,507,665,1848,666
2024-06-13 14:33:30,506,684,1874,680
2024-06-13 14:33:45,486,680,1839,683
2024-06-13 14:34:00,485,637,1785,645
2024-06-13 14:34:15,407,577,1526,589
2024-06-13 14:34:30,357,453,1287,467
2024-06-13 14:34:45,261,400,1022,403
2024-06-13 14:35:00,235,335,926,338
