"Time","Total","Peers","Orderers","Ledgers"
2024-06-23 22:05:15,0,0,0,0
2024-06-23 22:05:30,2,0,0,0
2024-06-23 22:05:45,77,1,0,0
2024-06-23 22:06:00,0,0,0,0
2024-06-23 22:06:15,0,0,0,0
2024-06-23 22:06:30,2,0,0,0
2024-06-23 22:06:45,0,0,0,0
2024-06-23 22:07:00,0,0,0,0
2024-06-23 22:07:15,83,0,0,3
2024-06-23 22:07:30,0,0,0,0
2024-06-23 22:07:45,2,0,0,0
2024-06-23 22:08:00,0,0,0,0
2024-06-23 22:08:15,0,0,0,0
2024-06-23 22:08:30,4,0,1,0
2024-06-23 22:08:45,154,0,0,0
2024-06-23 22:09:00,13,4,0,0
2024-06-23 22:09:15,3,0,0,0
2024-06-23 22:09:30,2,0,0,0
2024-06-23 22:09:45,0,0,0,0
2024-06-23 22:10:00,0,0,0,0
2024-06-23 22:10:15,3,0,0,1
2024-06-23 22:10:30,9,0,0,0
2024-06-23 22:10:45,0,0,0,0
2024-06-23 22:11:00,0,0,0,0
2024-06-23 22:11:15,0,0,0,0
