"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-23 22:05:15,2368610849,25429,7856,752
2024-06-23 22:05:30,2368667798,26165,8696,887
2024-06-23 22:05:45,2368741406,27020,9637,1037
2024-06-23 22:06:00,2369237849,43614,15989,3875
2024-06-23 22:06:15,2370501048,81669,42821,7404
2024-06-23 22:06:30,2371390001,109952,58149,9854
2024-06-23 22:06:45,2372601223,148907,80236,14918
2024-06-23 22:07:00,2373367679,176295,95749,17451
2024-06-23 22:07:15,2374713962,212741,117371,22475
2024-06-23 22:07:30,2375464034,242829,133411,26704
2024-06-23 22:07:45,2376782361,280162,154392,30073
2024-06-23 22:08:00,2377654030,301903,166217,32475
2024-06-23 22:08:15,2378889006,345841,190870,37650
2024-06-23 22:08:30,2379664174,375496,203079,40094
2024-06-23 22:08:45,2380975595,411825,227114,45160
2024-06-23 22:09:00,2381730519,433661,239696,49137
2024-06-23 22:09:15,2383041937,477149,263034,52526
2024-06-23 22:09:30,2383823842,512880,278858,55192
2024-06-23 22:09:45,2385112087,543718,299782,60170
2024-06-23 22:10:00,2385605711,559029,308380,61855
2024-06-23 22:10:15,2385680355,559568,309389,61866
2024-06-23 22:10:30,2385726814,560079,310157,61884
2024-06-23 22:10:45,2385799619,560719,310981,61893
2024-06-23 22:11:00,2385850574,561273,311535,61914
2024-06-23 22:11:15,2385922024,561934,312565,61923
