"Time","machine69","machine70","Total"
2024-04-18 09:36:45,0.891,,0.895
2024-04-18 09:37:00,1.75,,1.75
2024-04-18 09:37:15,2.39,0.768,3.30
2024-04-18 09:37:30,3.05,1.73,4.90
2024-04-18 09:37:45,3.05,2.50,6.07
2024-04-18 09:38:00,3.00,3.17,7.07
2024-04-18 09:38:15,11.1,16.0,34.1
2024-04-18 09:38:30,32.7,33.8,87.5
2024-04-18 09:38:45,54.9,56.0,141
2024-04-18 09:39:00,76.3,78.8,196
2024-04-18 09:39:15,82.2,81.0,208
2024-04-18 09:39:30,82.9,81.6,207
2024-04-18 09:39:45,83.9,83.8,211
2024-04-18 09:40:00,85.3,82.2,215
2024-04-18 09:40:15,84.5,85.1,216
2024-04-18 09:40:30,85.6,84.5,216
2024-04-18 09:40:45,85.7,83.6,214
2024-04-18 09:41:00,86.1,81.9,215
2024-04-18 09:41:15,87.1,84.7,218
2024-04-18 09:41:30,87.2,86.3,222
2024-04-18 09:41:45,87.7,86.8,224
2024-04-18 09:42:00,88.5,87.1,226
2024-04-18 09:42:15,80.1,74.9,198
