"Time","orderers","peers","Total"
2024-08-03 20:56:45,0.356,10.9,10.9
2024-08-03 20:57:00,0.391,11.5,11.5
2024-08-03 20:57:15,0.609,12.2,12.2
2024-08-03 20:57:30,0.775,12.5,12.5
2024-08-03 20:57:45,0.952,12.4,12.4
2024-08-03 20:58:00,0.959,12.6,12.6
2024-08-03 20:58:15,1.13,12.6,12.6
2024-08-03 20:58:30,1.22,12.8,12.8
2024-08-03 20:58:45,1.24,12.9,12.9
2024-08-03 20:59:00,1.40,12.7,12.7
2024-08-03 20:59:15,1.52,13.1,13.1
2024-08-03 20:59:30,1.44,13.4,13.4
2024-08-03 20:59:45,1.72,13.6,13.6
2024-08-03 21:00:00,1.82,13.6,13.6
2024-08-03 21:00:15,1.83,13.9,13.9
2024-08-03 21:00:30,2.00,14.3,14.3
2024-08-03 21:00:45,2.14,14.1,14.1
2024-08-03 21:01:00,2.07,14.0,14.0
2024-08-03 21:01:15,2.10,14.0,14.0
2024-08-03 21:01:30,2.10,14.7,14.7
2024-08-03 21:01:45,2.11,14.7,14.7
2024-08-03 21:02:00,2.11,13.9,13.9
2024-08-03 21:02:15,2.11,14.1,14.1
2024-08-03 21:02:30,2.11,14.2,14.2
