"Time","orderers","peers","Total"
2024-07-31 12:55:30,0.126,4.06,4.06
2024-07-31 12:55:45,0.126,4.11,4.11
2024-07-31 12:56:00,0.131,4.11,4.11
2024-07-31 12:56:15,0.187,4.23,4.23
2024-07-31 12:56:30,0.247,4.37,4.37
2024-07-31 12:56:45,0.321,4.53,4.53
2024-07-31 12:57:00,0.332,4.51,4.51
2024-07-31 12:57:15,0.392,4.44,4.44
2024-07-31 12:57:30,0.429,4.56,4.56
2024-07-31 12:57:45,0.405,4.85,4.85
2024-07-31 12:58:00,0.467,4.90,4.90
2024-07-31 12:58:15,0.536,4.87,4.87
2024-07-31 12:58:30,0.476,4.80,4.80
2024-07-31 12:58:45,0.556,4.93,4.93
2024-07-31 12:59:00,0.616,5.00,5.00
2024-07-31 12:59:15,0.589,5.03,5.03
2024-07-31 12:59:30,0.631,5.09,5.09
2024-07-31 12:59:45,0.717,5.16,5.16
2024-07-31 13:00:00,0.677,5.23,5.23
2024-07-31 13:00:15,0.696,5.19,5.19
2024-07-31 13:00:30,0.696,5.17,5.17
2024-07-31 13:00:45,0.696,5.19,5.19
2024-07-31 13:01:00,0.696,5.16,5.16
