"Time","orderers","peers","Total"
2024-07-31 12:55:30,0.393,12.7,12.7
2024-07-31 12:55:45,0.393,12.8,12.8
2024-07-31 12:56:00,0.409,12.8,12.8
2024-07-31 12:56:15,0.585,13.2,13.2
2024-07-31 12:56:30,0.773,13.7,13.7
2024-07-31 12:56:45,1.00,14.2,14.2
2024-07-31 12:57:00,1.04,14.1,14.1
2024-07-31 12:57:15,1.22,13.9,13.9
2024-07-31 12:57:30,1.34,14.2,14.2
2024-07-31 12:57:45,1.27,15.2,15.2
2024-07-31 12:58:00,1.46,15.3,15.3
2024-07-31 12:58:15,1.67,15.2,15.2
2024-07-31 12:58:30,1.49,15.0,15.0
2024-07-31 12:58:45,1.74,15.4,15.4
2024-07-31 12:59:00,1.92,15.6,15.6
2024-07-31 12:59:15,1.84,15.7,15.7
2024-07-31 12:59:30,1.97,15.9,15.9
2024-07-31 12:59:45,2.24,16.1,16.1
2024-07-31 13:00:00,2.12,16.3,16.3
2024-07-31 13:00:15,2.18,16.2,16.2
2024-07-31 13:00:30,2.18,16.1,16.1
2024-07-31 13:00:45,2.18,16.2,16.2
2024-07-31 13:01:00,2.18,16.1,16.1
