"Time","All machines","machine69","machine70","machine77"
2024-07-31 12:55:30,94.8,0,0,0
2024-07-31 12:55:45,104,0,0,0
2024-07-31 12:56:00,30.6,,0,0
2024-07-31 12:56:15,207,,17.2,0
2024-07-31 12:56:30,305,,25.9,0
2024-07-31 12:56:45,275,,17.2,1.37
2024-07-31 12:57:00,300,,1.52,1.86
2024-07-31 12:57:15,10.9,,1.01,0
2024-07-31 12:57:30,8.46,0,0,0
2024-07-31 12:57:45,6.73,0,0,0
2024-07-31 12:58:00,2.39,0,0,0
2024-07-31 12:58:15,2.20,0,0,196
2024-07-31 12:58:30,3.48,,0,268
2024-07-31 12:58:45,79.6,0,2.07,0
2024-07-31 12:59:00,96.1,0,3.08,0
2024-07-31 12:59:15,201,0,0,0
2024-07-31 12:59:30,116,,0,0
2024-07-31 12:59:45,233,,0,0
2024-07-31 13:00:00,122,0,0,0
2024-07-31 13:00:15,185,,0,0
2024-07-31 13:00:30,194,0,0,0
2024-07-31 13:00:45,73.0,0,0,0
2024-07-31 13:01:00,84.1,0,0,0
