"Time","machine69","machine70","Total","machine77"
2024-07-31 12:55:30,0,301,819,326
2024-07-31 12:55:45,0,189,764,259
2024-07-31 12:56:00,0,266,737,262
2024-07-31 12:56:15,0.00226,240,888,304
2024-07-31 12:56:30,,360,1058,304
2024-07-31 12:56:45,0,411,1293,470
2024-07-31 12:57:00,0,455,1385,471
2024-07-31 12:57:15,0,409,1411,483
2024-07-31 12:57:30,0,499,1451,483
2024-07-31 12:57:45,0,348,1470,469
2024-07-31 12:58:00,0,506,1494,469
2024-07-31 12:58:15,0.0000727,490,1485,542
2024-07-31 12:58:30,,520,1560,545
2024-07-31 12:58:45,0,376,1505,514
2024-07-31 12:59:00,0,489,1487,513
2024-07-31 12:59:15,0,424,1473,495
2024-07-31 12:59:30,0,474,1477,495
2024-07-31 12:59:45,0,363,1518,537
2024-07-31 13:00:00,0,543,1506,537
2024-07-31 13:00:15,0.00207,343,1397,459
2024-07-31 13:00:30,0,408,1179,458
2024-07-31 13:00:45,0,169,914,278
2024-07-31 13:01:00,0,265,782,266
