"Time","All machines","machine69","machine70","machine77"
2024-06-24 20:19:30,110,37.9,36.2,36.1
2024-06-24 20:19:45,111,38.0,36.3,36.2
2024-06-24 20:20:00,111,38.3,36.6,36.6
2024-06-24 20:20:15,112,38.6,36.9,36.9
2024-06-24 20:20:30,112,38.6,36.6,36.6
2024-06-24 20:20:45,113,38.5,36.8,36.7
2024-06-24 20:21:00,113,38.5,37.1,37.1
2024-06-24 20:21:15,113,38.6,37.3,37.1
2024-06-24 20:21:30,113,38.6,37.5,37.4
2024-06-24 20:21:45,114,38.8,37.3,37.3
2024-06-24 20:22:00,114,38.9,37.7,37.7
2024-06-24 20:22:15,115,39.3,37.7,37.7
2024-06-24 20:22:30,115,39.4,37.7,37.6
2024-06-24 20:22:45,115,39.3,37.6,37.6
2024-06-24 20:23:00,116,39.6,38.1,37.9
2024-06-24 20:23:15,116,39.7,38.2,38.2
2024-06-24 20:23:30,117,40.0,38.3,38.4
2024-06-24 20:23:45,117,40.1,38.6,38.5
2024-06-24 20:24:00,117,40.1,38.3,38.1
2024-06-24 20:24:15,117,40.0,38.2,38.2
2024-06-24 20:24:30,117,39.6,38.3,38.3
