"Time","machine69","machine70","Total","machine77"
2024-07-31 19:36:00,0,248,763,263
2024-07-31 19:36:15,0.0000704,341,917,301
2024-07-31 19:36:30,,378,1131,301
2024-07-31 19:36:45,0,487,1429,555
2024-07-31 19:37:00,0.000598,590,1600,553
2024-07-31 19:37:15,0.000598,423,1625,562
2024-07-31 19:37:30,,573,1630,562
2024-07-31 19:37:45,0,369,1666,572
2024-07-31 19:38:00,0,616,1706,572
2024-07-31 19:38:15,0.00500,514,1714,617
2024-07-31 19:38:30,0,600,1756,617
2024-07-31 19:38:45,0,311,1785,617
2024-07-31 19:39:00,0.475,625,1793,616
2024-07-31 19:39:15,0,532,1708,585
2024-07-31 19:39:30,,571,1626,585
2024-07-31 19:39:45,0,554,1593,570
2024-07-31 19:40:00,0,551,1626,570
2024-07-31 19:40:15,0.817,212,1512,563
2024-07-31 19:40:30,0,466,1299,559
2024-07-31 19:40:45,0,239,982,300
2024-07-31 19:41:00,0,279,619,300
