"Time","machine69","machine70","All Machines","machine77"
2024-08-01 00:21:00,0.590,0.303,0.598,0.151
2024-08-01 00:21:15,0.590,0.303,0.598,0.151
2024-08-01 00:21:30,0.590,0.303,0.598,0.151
2024-08-01 00:21:45,0.590,0.303,0.598,0.151
2024-08-01 00:22:00,0.590,0.303,0.598,0.151
2024-08-01 00:22:15,0.590,0.303,0.600,0.151
2024-08-01 00:22:30,0.591,0.305,0.600,0.151
2024-08-01 00:22:45,0.591,0.305,0.600,0.152
2024-08-01 00:23:00,0.591,0.305,0.600,0.152
2024-08-01 00:23:15,0.591,0.308,0.604,0.152
2024-08-01 00:23:30,0.593,0.308,0.604,0.152
2024-08-01 00:23:45,0.593,0.308,0.604,0.154
2024-08-01 00:24:00,0.593,0.308,0.604,0.154
2024-08-01 00:24:15,0.593,0.308,0.608,0.154
2024-08-01 00:24:30,0.594,0.311,0.608,0.154
2024-08-01 00:24:45,0.594,0.311,0.608,0.156
2024-08-01 00:25:00,0.594,0.311,0.608,0.156
2024-08-01 00:25:15,0.594,0.314,0.612,0.156
2024-08-01 00:25:30,0.596,0.314,0.612,0.156
2024-08-01 00:25:45,0.596,0.314,0.612,0.157
2024-08-01 00:26:00,0.596,0.314,0.612,0.157
2024-08-01 00:26:15,0.596,0.316,0.614,0.157
2024-08-01 00:26:30,0.596,0.316,0.614,0.157
2024-08-01 00:26:45,0.596,0.316,0.614,0.158
2024-08-01 00:27:00,0.596,0.316,0.614,0.158
