"Time","machine69","machine70","Total","machine77"
2024-08-01 00:21:00,0,256,768,273
2024-08-01 00:21:15,0.000281,250,724,266
2024-08-01 00:21:30,0,264,731,267
2024-08-01 00:21:45,0,256,759,262
2024-08-01 00:22:00,0,309,813,261
2024-08-01 00:22:15,0,261,864,358
2024-08-01 00:22:30,,357,923,360
2024-08-01 00:22:45,0,301,914,356
2024-08-01 00:23:00,0,335,930,356
2024-08-01 00:23:15,0.00290,309,929,365
2024-08-01 00:23:30,0,357,939,364
2024-08-01 00:23:45,0,324,926,354
2024-08-01 00:24:00,0,353,911,353
2024-08-01 00:24:15,0.0000391,288,905,347
2024-08-01 00:24:30,0,351,921,347
2024-08-01 00:24:45,0,307,914,354
2024-08-01 00:25:00,0,355,914,358
2024-08-01 00:25:15,0.000300,324,898,353
2024-08-01 00:25:30,,340,921,353
2024-08-01 00:25:45,,43.5,886,347
2024-08-01 00:26:00,0,0,670,347
2024-08-01 00:26:15,0,2.12,746,238
2024-08-01 00:26:30,,0,727,238
2024-08-01 00:26:45,0,164,496,259
2024-08-01 00:27:00,0,258,703,259
