"Time","orderers","peers","Total"
2024-08-04 11:18:00,0.301,7.85,7.85
2024-08-04 11:18:15,0.373,8.18,8.18
2024-08-04 11:18:30,0.490,8.70,8.70
2024-08-04 11:18:45,0.629,8.69,8.69
2024-08-04 11:19:00,0.695,8.65,8.65
2024-08-04 11:19:15,0.776,8.61,8.61
2024-08-04 11:19:30,0.858,8.82,8.82
2024-08-04 11:19:45,0.975,9.03,9.03
2024-08-04 11:20:00,0.954,8.87,8.87
2024-08-04 11:20:15,1.11,9.37,9.37
2024-08-04 11:20:30,1.15,9.32,9.32
2024-08-04 11:20:45,1.14,9.51,9.51
2024-08-04 11:21:00,1.26,9.62,9.62
2024-08-04 11:21:15,1.33,9.46,9.46
2024-08-04 11:21:30,1.33,9.70,9.70
2024-08-04 11:21:45,1.46,9.94,9.94
2024-08-04 11:22:00,1.49,10.2,10.2
2024-08-04 11:22:15,1.49,10.1,10.1
2024-08-04 11:22:30,1.50,9.95,9.95
2024-08-04 11:22:45,1.50,10.0,10.0
2024-08-04 11:23:00,1.50,10.1,10.1
