"Time","machine69","machine70","Total","machine77"
2024-08-04 11:18:00,0,257,702,259
2024-08-04 11:18:15,0,257,780,255
2024-08-04 11:18:30,,333,986,255
2024-08-04 11:18:45,0,470,1276,488
2024-08-04 11:19:00,0,527,1467,491
2024-08-04 11:19:15,0,403,1546,537
2024-08-04 11:19:30,,541,1571,537
2024-08-04 11:19:45,0,437,1579,545
2024-08-04 11:20:00,0,536,1559,545
2024-08-04 11:20:15,0,477,1564,540
2024-08-04 11:20:30,0,546,1565,540
2024-08-04 11:20:45,0,383,1550,526
2024-08-04 11:21:00,0,488,1486,514
2024-08-04 11:21:15,0.000268,386,1443,484
2024-08-04 11:21:30,,496,1439,486
2024-08-04 11:21:45,0,248,1431,494
2024-08-04 11:22:00,0,467,1446,494
2024-08-04 11:22:15,0,386,1370,491
2024-08-04 11:22:30,,423,1231,488
2024-08-04 11:22:45,0,320,942,282
2024-08-04 11:23:00,0.0000438,255,764,282
