"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-13 16:50:45,1237139796,35526,4375,414
2024-06-13 16:51:00,1237193143,36370,4854,524
2024-06-13 16:51:15,1237260628,37236,5743,738
2024-06-13 16:51:30,1237307740,37663,6289,741
2024-06-13 16:51:45,1237384264,38509,7090,808
2024-06-13 16:52:00,1237441929,39660,7583,1033
2024-06-13 16:52:15,1237913843,55260,15328,2975
2024-06-13 16:52:30,1238561284,82707,23679,6341
2024-06-13 16:52:45,1239645721,119121,36932,10746
2024-06-13 16:53:00,1240406767,145113,44428,14067
2024-06-13 16:53:15,1240775195,160586,50674,15893
2024-06-13 16:53:30,1241223701,172874,59679,19905
2024-06-13 16:53:45,1242961111,240448,79616,26528
2024-06-13 16:54:00,1243600970,269028,87922,29325
2024-06-13 16:54:15,1244649472,304820,101100,34556
2024-06-13 16:54:30,1245259902,332426,108668,38073
2024-06-13 16:54:45,1246283305,365895,120716,42682
2024-06-13 16:55:00,1246867890,388712,128411,46206
2024-06-13 16:55:15,1247927958,429064,140680,50652
2024-06-13 16:55:30,1248527390,449823,147139,53217
2024-06-13 16:55:45,1249582311,491348,160839,58425
2024-06-13 16:56:00,1250157381,512756,167781,61797
2024-06-13 16:56:15,1251006280,544320,178552,64972
2024-06-13 16:56:30,1251047623,544821,178981,65008
2024-06-13 16:56:45,1251133484,545656,179833,65049
2024-06-13 16:57:00,1251179107,546270,180383,65089
