"Time","machine69","machine70","Total","machine77"
2024-06-13 16:50:45,246,401,1046,400
2024-06-13 16:51:00,243,301,881,300
2024-06-13 16:51:15,237,303,836,301
2024-06-13 16:51:30,244,298,838,300
2024-06-13 16:51:45,243,306,846,306
2024-06-13 16:52:00,240,308,846,307
2024-06-13 16:52:15,274,321,946,315
2024-06-13 16:52:30,332,413,1122,403
2024-06-13 16:52:45,450,464,1423,454
2024-06-13 16:53:00,501,604,1674,603
2024-06-13 16:53:15,454,493,1525,481
2024-06-13 16:53:30,325,643,1387,648
2024-06-13 16:53:45,520,669,1861,671
2024-06-13 16:54:00,521,416,1485,427
2024-06-13 16:54:15,449,568,1618,596
2024-06-13 16:54:30,575,607,1830,613
2024-06-13 16:54:45,601,619,1855,621
2024-06-13 16:55:00,611,640,1880,641
2024-06-13 16:55:15,626,648,1912,649
2024-06-13 16:55:30,618,625,1863,625
2024-06-13 16:55:45,604,618,1837,622
2024-06-13 16:56:00,580,627,1828,630
2024-06-13 16:56:15,514,626,1742,636
2024-06-13 16:56:30,441,518,1544,533
2024-06-13 16:56:45,333,455,1217,460
2024-06-13 16:57:00,280,340,995,342
