"Time","orderers","peers","Total"
2024-04-17 23:06:00,0.444,1.36,1.80
2024-04-17 23:06:15,0.444,1.36,1.80
2024-04-17 23:06:30,0.444,1.36,1.80
2024-04-17 23:06:45,0.359,1.13,1.49
2024-04-17 23:07:00,0.182,0.599,0.780
2024-04-17 23:07:15,0.186,0.583,0.769
2024-04-17 23:07:30,0.251,0.699,0.950
2024-04-17 23:07:45,0.410,0.726,1.14
2024-04-17 23:08:00,0.549,0.794,1.34
2024-04-17 23:08:15,0.543,0.841,1.38
2024-04-17 23:08:30,0.664,0.871,1.53
2024-04-17 23:08:45,0.792,0.902,1.69
2024-04-17 23:09:00,0.714,0.941,1.66
2024-04-17 23:09:15,0.817,0.972,1.79
2024-04-17 23:09:30,0.981,1.05,2.03
2024-04-17 23:09:45,0.905,1.07,1.98
2024-04-17 23:10:00,1.06,1.12,2.18
2024-04-17 23:10:15,1.18,1.15,2.33
2024-04-17 23:10:30,1.13,1.20,2.33
2024-04-17 23:10:45,1.27,1.22,2.49
2024-04-17 23:11:00,1.41,1.27,2.68
2024-04-17 23:11:15,1.33,1.30,2.63
2024-04-17 23:11:30,1.42,1.32,2.73
2024-04-17 23:11:45,1.42,1.32,2.73
