"Time","machine69","machine70","Total","machine77"
2024-06-23 23:25:15,252,309,876,307
2024-06-23 23:25:30,254,335,914,336
2024-06-23 23:25:45,268,343,976,344
2024-06-23 23:26:00,312,418,1113,415
2024-06-23 23:26:15,419,452,1355,450
2024-06-23 23:26:30,467,530,1497,527
2024-06-23 23:26:45,498,524,1552,527
2024-06-23 23:27:00,490,546,1578,542
2024-06-23 23:27:15,505,584,1684,580
2024-06-23 23:27:30,510,621,1740,618
2024-06-23 23:27:45,527,630,1792,622
2024-06-23 23:28:00,524,620,1779,627
2024-06-23 23:28:15,522,634,1786,633
2024-06-23 23:28:30,524,624,1783,633
2024-06-23 23:28:45,506,621,1747,628
2024-06-23 23:29:00,503,608,1710,609
2024-06-23 23:29:15,511,612,1746,615
2024-06-23 23:29:30,519,620,1760,623
2024-06-23 23:29:45,502,615,1712,620
2024-06-23 23:30:00,449,510,1508,523
2024-06-23 23:30:15,358,474,1268,483
2024-06-23 23:30:30,307,372,1058,375
2024-06-23 23:30:45,263,366,987,366
2024-06-23 23:31:00,258,337,949,328
2024-06-23 23:31:15,254,335,921,331
