"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-23 23:25:15,2400149228,27131,7992,757
2024-06-23 23:25:30,2400201150,28062,8836,859
2024-06-23 23:25:45,2400518949,36567,14113,2010
2024-06-23 23:26:00,2401258232,63372,25410,5361
2024-06-23 23:26:15,2402371866,99279,46190,9905
2024-06-23 23:26:30,2403122652,126556,61847,13166
2024-06-23 23:26:45,2404238727,163015,76312,17604
2024-06-23 23:27:00,2405002234,190575,89173,20829
2024-06-23 23:27:15,2406053419,223779,105867,25120
2024-06-23 23:27:30,2406829036,258211,116037,27760
2024-06-23 23:27:45,2407900608,286045,136000,32987
2024-06-23 23:28:00,2408677350,307446,146133,36549
2024-06-23 23:28:15,2409729338,348903,165838,40932
2024-06-23 23:28:30,2410522873,376537,176132,44197
2024-06-23 23:28:45,2411559720,411608,196758,48561
2024-06-23 23:29:00,2412342703,438490,207141,52024
2024-06-23 23:29:15,2413362827,473658,226054,56380
2024-06-23 23:29:30,2414064646,506657,236443,59800
2024-06-23 23:29:45,2415054256,530808,253888,63683
2024-06-23 23:30:00,2415110242,531427,254620,63694
2024-06-23 23:30:15,2415175831,532108,255462,63727
2024-06-23 23:30:30,2415235581,532655,256196,63734
2024-06-23 23:30:45,2415296701,533309,257019,63764
2024-06-23 23:31:00,2415355358,533804,257748,63779
2024-06-23 23:31:15,2415420484,534540,258623,63813
