"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-14 15:53:15,1426772850,31629,5115,407
2024-06-14 15:53:30,1426823723,32479,5913,689
2024-06-14 15:53:45,1426906514,33346,6760,734
2024-06-14 15:54:00,1426955576,33896,7313,736
2024-06-14 15:54:15,1427034922,34659,8448,806
2024-06-14 15:54:30,1427104562,35530,9253,1033
2024-06-14 15:54:45,1427493852,46911,16625,2334
2024-06-14 15:55:00,1428415991,69079,28082,6484
2024-06-14 15:55:15,1429561803,112321,49837,9968
2024-06-14 15:55:30,1430328258,138914,59627,13529
2024-06-14 15:55:45,1431605223,176234,81535,17681
2024-06-14 15:56:00,1432444560,197386,92062,20159
2024-06-14 15:56:15,1433582739,240656,112983,25439
2024-06-14 15:56:30,1434357212,267503,125397,29641
2024-06-14 15:56:45,1435586160,303205,142586,33358
2024-06-14 15:57:00,1436383122,336979,156216,36746
2024-06-14 15:57:15,1437619669,367729,174263,41176
2024-06-14 15:57:30,1438377531,394526,187716,44473
2024-06-14 15:57:45,1439645603,430971,206291,48793
2024-06-14 15:58:00,1440417106,465316,219575,52219
2024-06-14 15:58:15,1441632112,492927,237565,56571
2024-06-14 15:58:30,1442377292,521609,247710,59080
2024-06-14 15:58:45,1443393468,550222,264401,63351
2024-06-14 15:59:00,1443447653,550694,264921,63351
2024-06-14 15:59:15,1443522402,551532,265950,63404
2024-06-14 15:59:30,1443579156,551915,266675,63404
2024-06-14 15:59:45,1443642769,552794,267556,63452
2024-06-14 16:00:00,1443700942,553407,268482,63461
