"Time","machine69","machine70","Total","machine77"
2024-07-31 09:30:45,,214,833,295
2024-07-31 09:31:00,0,285,804,295
2024-07-31 09:31:15,0.140,200,765,286
2024-07-31 09:31:30,0,288,782,288
2024-07-31 09:31:45,0,119,776,256
2024-07-31 09:32:00,0,272,774,256
2024-07-31 09:32:15,0.00191,341,908,285
2024-07-31 09:32:30,,388,1094,285
2024-07-31 09:32:45,0,363,1383,528
2024-07-31 09:33:00,0,567,1548,532
2024-07-31 09:33:15,0.00201,553,1618,597
2024-07-31 09:33:30,0,601,1659,597
2024-07-31 09:33:45,0,533,1661,605
2024-07-31 09:34:00,0,604,1663,606
2024-07-31 09:34:15,0,436,1666,610
2024-07-31 09:34:30,0,590,1676,610
2024-07-31 09:34:45,0,539,1642,568
2024-07-31 09:35:00,0,551,1647,568
2024-07-31 09:35:15,0,424,1618,587
2024-07-31 09:35:30,,582,1643,589
2024-07-31 09:35:45,,570,1617,576
2024-07-31 09:36:00,0,577,1594,574
2024-07-31 09:36:15,0,426,1449,529
2024-07-31 09:36:30,0,452,1248,525
2024-07-31 09:36:45,0,228,1000,305
2024-07-31 09:37:00,0,300,833,305
2024-07-31 09:37:15,0.00226,271,818,300
2024-07-31 09:37:30,0,319,851,300
2024-07-31 09:37:45,,267,843,317
