"Time","All machines","machine69","machine70"
2024-04-18 09:18:15,0.627,0.202,0.175
2024-04-18 09:18:30,0.630,0.202,0.177
2024-04-18 09:18:45,0.630,0.202,0.177
2024-04-18 09:19:00,0.632,0.203,0.177
2024-04-18 09:19:15,0.629,0.202,0.177
2024-04-18 09:19:30,0.631,0.203,0.177
2024-04-18 09:19:45,0.630,0.202,0.176
2024-04-18 09:20:00,0.652,0.204,0.204
2024-04-18 09:20:15,0.810,0.277,0.234
2024-04-18 09:20:30,0.904,0.303,0.267
2024-04-18 09:20:45,0.960,0.332,0.293
2024-04-18 09:21:00,1.01,0.333,0.296
2024-04-18 09:21:15,1.10,0.364,0.326
2024-04-18 09:21:30,1.17,0.399,0.334
2024-04-18 09:21:45,1.20,0.396,0.364
2024-04-18 09:22:00,1.28,0.427,0.395
2024-04-18 09:22:15,1.35,0.446,0.410
2024-04-18 09:22:30,1.37,0.439,0.437
2024-04-18 09:22:45,1.48,0.472,0.472
2024-04-18 09:23:00,1.51,0.456,0.480
2024-04-18 09:23:15,1.59,0.500,0.519
2024-04-18 09:23:30,1.69,0.518,0.552
2024-04-18 09:23:45,1.69,0.507,0.565
2024-04-18 09:24:00,1.79,0.542,0.588
2024-04-18 09:24:15,1.73,0.522,0.571
