"Time","machine69","machine70","Total"
2024-04-18 09:18:15,2.77,2.74,7.57
2024-04-18 09:18:30,2.73,2.83,7.41
2024-04-18 09:18:45,2.73,2.80,7.31
2024-04-18 09:19:00,2.63,2.76,7.13
2024-04-18 09:19:15,2.58,2.74,7.00
2024-04-18 09:19:30,2.52,2.65,6.96
2024-04-18 09:19:45,2.52,2.64,7.11
2024-04-18 09:20:00,2.99,5.78,9.83
2024-04-18 09:20:15,21.5,23.6,56.1
2024-04-18 09:20:30,42.2,42.1,104
2024-04-18 09:20:45,63.8,58.7,153
2024-04-18 09:21:00,75.6,68.8,186
2024-04-18 09:21:15,75.0,69.2,187
2024-04-18 09:21:30,76.7,70.6,190
2024-04-18 09:21:45,78.2,71.8,194
2024-04-18 09:22:00,79.6,72.0,198
2024-04-18 09:22:15,79.3,74.5,200
2024-04-18 09:22:30,80.5,74.8,202
2024-04-18 09:22:45,80.4,74.2,200
2024-04-18 09:23:00,81.6,74.6,200
2024-04-18 09:23:15,82.7,75.2,200
2024-04-18 09:23:30,82.2,75.7,200
2024-04-18 09:23:45,84.2,78.4,208
2024-04-18 09:24:00,85.0,76.6,208
2024-04-18 09:24:15,64.1,59.1,160
